sales_id,all_time_quantity_sold,quantity_sold,original_price,price,discount,discount_rate,list_price,price_usd,order_count,product_id,brand_id,category_id
54645,855.0,855.0,328900,267000,61900,19,328900,Null,Null,54645,18984,1804
54665,5783.0,5783.0,261000,217000,44000,17,261000,Null,Null,54665,18984,1815
122012,137.0,137.0,399000,399000,0,0,399000,Null,Null,122012,18984,1815
125781,10198.0,10198.0,199000,116000,83000,42,199000,Null,Null,125781,18641,1804
126000,5144.0,5144.0,590000,445000,145000,25,590000,Null,Null,126000,18641,1804
126697,2157.0,2157.0,209000,199000,10000,5,209000,Null,Null,126697,18641,1804
180912,1736.0,1736.0,595000,573000,22000,4,595000,Null,Null,180912,18984,1815
199828,1002.0,1002.0,734000,647000,87000,12,734000,Null,Null,199828,18984,1815
203734,101.0,101.0,432000,432000,0,0,432000,Null,Null,203734,18984,1815
208248,2048.0,2048.0,857000,728000,129000,15,857000,Null,Null,208248,18984,5264
233129,0.0,0.0,259000,259000,0,0,259000,Null,Null,233129,18984,1815
234751,52.0,52.0,200000,200000,0,0,200000,Null,Null,234751,50629,1815
249953,199.0,199.0,99000,99000,0,0,99000,Null,Null,249953,50629,1815
284609,1803.0,1803.0,235000,189000,46000,20,235000,Null,Null,284609,74674,1520
299431,12525.0,12525.0,272800,169000,103800,38,272800,Null,Null,299431,18984,1815
299461,8630.0,8630.0,390000,292000,98000,25,390000,Null,Null,299461,18984,1815
356188,5207.0,5207.0,63000,63000,0,0,63000,Null,Null,356188,18984,1837
359286,108.0,108.0,144840,142002,2838,2,144840,Null,Null,359286,18991,1815
359480,1422.0,1422.0,300000,227000,73000,24,300000,Null,Null,359480,18984,1815
359483,166.0,166.0,352000,352000,0,0,352000,Null,Null,359483,18984,1815
359484,3022.0,3022.0,138000,134000,4000,3,138000,Null,Null,359484,18984,25026
359492,314.0,314.0,298000,298000,0,0,298000,Null,Null,359492,18984,1805
359726,68.0,68.0,529000,529000,0,0,529000,Null,Null,359726,18984,1815
360660,947.0,947.0,499000,361000,138000,28,499000,Null,Null,360660,18984,1815
360738,2557.0,2557.0,548900,532000,16900,3,548900,Null,Null,360738,18984,1815
360759,101.0,101.0,649000,444000,205000,32,649000,Null,Null,360759,18984,1804
361277,746.0,746.0,265000,265000,0,0,265000,Null,Null,361277,19107,1815
361279,369.0,369.0,175000,175000,0,0,175000,Null,Null,361279,19107,5267
362117,10.0,10.0,1199000,1080000,119000,10,1199000,Null,Null,362117,18804,11935
365155,3.0,3.0,12999000,11699000,1300000,10,12999000,Null,Null,365155,18985,1804
376848,85.0,85.0,946000,946000,0,0,946000,Null,Null,376848,18984,1805
379462,6689.0,6689.0,357000,225000,132000,37,357000,Null,Null,379462,18792,1805
380792,2276.0,2276.0,308800,300000,8800,3,308800,Null,Null,380792,21273,1520
380795,3679.0,3679.0,308800,294000,14800,5,308800,Null,Null,380795,21273,1520
380857,178.0,178.0,99000,99000,0,0,99000,Null,Null,380857,21268,1520
381859,279.0,279.0,16000,14400,1600,10,16000,Null,Null,381859,21590,1601
382654,1121.0,1121.0,48000,43200,4800,10,48000,Null,Null,382654,21590,1583
383286,6798.0,6798.0,121000,114000,7000,6,121000,Null,Null,383286,21273,1520
385455,0.0,0.0,65000,65000,0,0,65000,Null,Null,385455,19107,1815
385469,2879.0,2879.0,76000,69000,7000,9,76000,Null,Null,385469,21261,1520
385477,7788.0,7788.0,304000,217000,87000,29,304000,Null,Null,385477,21261,1520
385568,2277.0,2277.0,69000,61000,8000,12,69000,Null,Null,385568,21261,1520
385574,5296.0,5296.0,300000,253000,47000,16,300000,Null,Null,385574,21261,1520
385582,4237.0,4237.0,276000,178000,98000,36,276000,Null,Null,385582,21261,1520
385614,2131.0,2131.0,70000,61000,9000,13,70000,Null,Null,385614,21261,1520
385615,4775.0,4775.0,280000,191000,89000,32,280000,Null,Null,385615,21261,1520
385654,8052.0,8052.0,77000,63000,14000,18,77000,Null,Null,385654,21261,1520
389145,708.0,708.0,164000,164000,0,0,164000,Null,Null,389145,18984,1838
389598,623.0,623.0,311500,311500,0,0,311500,Null,Null,389598,22095,1520
389628,101.0,101.0,65000,50000,15000,23,65000,Null,Null,389628,22095,2
389659,1585.0,1585.0,46489,46489,0,0,46489,Null,Null,389659,22095,1520
389688,157.0,157.0,210000,164890,45110,21,210000,Null,Null,389688,22095,1520
392967,22.0,22.0,125000,112000,13000,10,125000,Null,Null,392967,22653,1520
