category_id,breadcrumb_category_id,breadcrumb_name
1804,1815,Thiết Bị Âm Thanh và Phụ Kiện
1815,1815,Phụ kiện máy tính và Laptop
5264,1815,Phụ kiện máy tính và Laptop
1815,1815,Phụ Kiện Điện Thoại và Máy Tính Bảng
1520,1520,Chăm sóc tóc và da đầu
1837,1815,Thiết Bị Số - Phụ Kiện Số
1815,1815,Thiết Bị Số - Phụ Kiện Số
25026,1815,Thiết Bị Số - Phụ Kiện Số
1805,1815,Thiết Bị Số - Phụ Kiện Số
1804,1815,Thiết Bị Số - Phụ Kiện Số
5267,1815,Thiết Bị Số - Phụ Kiện Số
11935,1520,Làm Đẹp - Sức Khỏe
1520,1520,Làm Đẹp - Sức Khỏe
1601,1520,Làm Đẹp - Sức Khỏe
1583,1520,Làm Đẹp - Sức Khỏe
1838,1815,Thiết Bị Số - Phụ Kiện Số
2,1520,Làm Đẹp - Sức Khỏe
3422,1520,Làm Đẹp - Sức Khỏe
11605,1520,Làm Đẹp - Sức Khỏe
11512,1520,Làm Đẹp - Sức Khỏe
0,1520,Làm Đẹp - Sức Khỏe
8168,1520,Làm Đẹp - Sức Khỏe
17170,1520,Làm Đẹp - Sức Khỏe
1634,1520,Làm Đẹp - Sức Khỏe
53190,1883,Nhà Cửa - Đời Sống
13878,1520,Làm Đẹp - Sức Khỏe
3177,1883,Nhà Cửa - Đời Sống
914,8371,Đồng hồ và Trang sức
5385,8371,Đồng hồ và Trang sức
1627,1520,Làm Đẹp - Sức Khỏe
1883,1883,Nhà Cửa - Đời Sống
4880,1815,Thiết Bị Số - Phụ Kiện Số
11885,1520,Làm Đẹp - Sức Khỏe
3426,1520,Làm Đẹp - Sức Khỏe
1836,1815,Thiết Bị Số - Phụ Kiện Số
8206,1520,Làm Đẹp - Sức Khỏe
2154,1883,Nhà Cửa - Đời Sống
8170,1520,Làm Đẹp - Sức Khỏe
3428,1815,Thiết Bị Số - Phụ Kiện Số
23254,1883,Nhà Cửa - Đời Sống
17162,1520,Làm Đẹp - Sức Khỏe
2020,1883,Nhà Cửa - Đời Sống
1343,1883,Nhà Cửa - Đời Sống
1984,1883,Nhà Cửa - Đời Sống
1805,1815,Thiết Bị Âm Thanh và Phụ Kiện
1613,1520,Làm Đẹp - Sức Khỏe
11875,1520,Làm Đẹp - Sức Khỏe
1778,8371,Đồng hồ và Trang sức
8602,1520,Làm Đẹp - Sức Khỏe
1630,1520,Làm Đẹp - Sức Khỏe
23362,1883,Nhà Cửa - Đời Sống
2153,1883,Nhà Cửa - Đời Sống
4428,1815,Thiết Bị Âm Thanh và Phụ Kiện
8300,1520,Làm Đẹp - Sức Khỏe
2347,1520,Làm Đẹp - Sức Khỏe
8172,1520,Làm Đẹp - Sức Khỏe
8067,1815,Thiết Bị Số - Phụ Kiện Số
2225,1883,Nhà Cửa - Đời Sống
17186,1520,Làm Đẹp - Sức Khỏe
2136,1883,Nhà Cửa - Đời Sống
23216,1883,Nhà Cửa - Đời Sống
53350,1520,Làm Đẹp - Sức Khỏe
2266,1883,Nhà Cửa - Đời Sống
1520,1520,Trang điểm 
1883,1883,Đồ dùng phòng ăn
1936,1883,Nhà Cửa - Đời Sống
2685,1883,Nhà Cửa - Đời Sống
12876,1815,Phụ kiện máy tính và Laptop
23588,1883,Nhà Cửa - Đời Sống
8305,1520,Làm Đẹp - Sức Khỏe
2759,1883,Nhà Cửa - Đời Sống
1815,1815,Thiết Bị Chơi Game và Phụ Kiện
8064,1815,Thiết Bị Số - Phụ Kiện Số
53074,1883,Nhà Cửa - Đời Sống
3710,1883,Nhà Cửa - Đời Sống
914,8371,Phụ kiện đồng hồ
2140,1883,Nhà Cửa - Đời Sống
53054,1883,Nhà Cửa - Đời Sống
23832,1883,Nhà Cửa - Đời Sống
6948,1883,Dụng cụ nhà bếp
3177,1883,Đồ dùng phòng ăn
53190,1883,Dụng cụ & Thiết bị tiện ích
1789,1789,Điện Thoại - Máy Tính Bảng
914,8371,Trang sức
2014,1883,Nhà Cửa - Đời Sống
914,8371,Đồng hồ nữ
8227,1520,Làm Đẹp - Sức Khỏe
914,8371,Đồng hồ nam
1832,1815,Thiết Bị Số - Phụ Kiện Số
914,8371,Đồng hồ trẻ em
1979,1883,Nhà Cửa - Đời Sống
1883,1883,Đồ dùng phòng ngủ
23392,1883,Đồ dùng phòng ngủ
15250,8371,Đồng hồ và Trang sức
2234,1883,Nhà Cửa - Đời Sống
23484,1883,Nhà Cửa - Đời Sống
2805,1883,Nhà Cửa - Đời Sống
1622,1520,Làm Đẹp - Sức Khỏe
1789,1789,Điện thoại bàn
8061,1789,Điện thoại bàn
8061,1789,Điện Thoại - Máy Tính Bảng
1815,1815,Thiết Bị Đeo Thông Minh và Phụ Kiện
23290,1883,Nhà Cửa - Đời Sống
5905,1520,Dụng cụ làm đẹp
51698,1815,Thiết Bị Số - Phụ Kiện Số
11897,1520,Làm Đẹp - Sức Khỏe
1811,1815,Thiết Bị Số - Phụ Kiện Số
15320,8371,Đồng hồ và Trang sức
15318,8371,Đồng hồ và Trang sức
5566,1815,Thiết Bị Số - Phụ Kiện Số
27180,1883,Nhà Cửa - Đời Sống
1631,1520,Làm Đẹp - Sức Khỏe
1883,1883,Dụng cụ nhà bếp
23540,1883,Nhà Cửa - Đời Sống
1795,1789,Điện thoại Smartphone
23282,1883,Đồ dùng phòng ăn
5531,1815,Thiết Bị Số - Phụ Kiện Số
2488,1883,Nhà Cửa - Đời Sống
23258,1883,Nhà Cửa - Đời Sống
17162,1520,Chăm sóc cơ thể
4451,1883,Nhà Cửa - Đời Sống
1789,1789,Máy đọc sách
1883,1883,Đèn & thiết bị chiếu sáng
1520,1520,Chăm sóc cá nhân
3515,1883,Nhà Cửa - Đời Sống
11893,1520,Làm Đẹp - Sức Khỏe
2154,1883,Dụng cụ & Thiết bị tiện ích
1815,1815,Thiết Bị Thông Minh và Linh Kiện Điện Tử
23048,1883,Dụng cụ & Thiết bị tiện ích
1796,1789,Điện Thoại - Máy Tính Bảng
1811,1815,Thiết Bị Âm Thanh và Phụ Kiện
23800,1883,Trang trí nhà cửa
8371,8371,Đồng hồ và Trang sức
1883,1883,Sửa chữa nhà cửa
23058,1883,Nhà Cửa - Đời Sống
7075,1815,Thiết Bị Số - Phụ Kiện Số
5995,1883,Ngoài trời & sân vườn
11837,1520,Làm Đẹp - Sức Khỏe
6061,1815,Thiết Bị Số - Phụ Kiện Số
1829,1815,Thiết Bị Số - Phụ Kiện Số
23048,1883,Nhà Cửa - Đời Sống
7078,1815,Thiết Bị Số - Phụ Kiện Số
28398,1815,Thiết Bị Số - Phụ Kiện Số
11845,1520,Làm Đẹp - Sức Khỏe
28480,1815,Thiết Bị Số - Phụ Kiện Số
