brand_id,brand_name
18984,Logitech
18641,Sony
50629,ANKER
74674,Bigen
18991,Cooler Master
19107,Fuhlen
18804,Panasonic
18985,Sennheiser
18792,Microlab
21273,Pond's
21268,Sunsilk
21590,Vedette
21261,Durex
22095,Sagami
22653,Nivea
24921,Evoluderm
19018,Philips
26689,VICHY
27918,TRESemmé
31580,Mayan
32909,Milaganics
284599,Purité De Prôvence
33203,Omron
34398,Microlife
27449,Beurer
21265,Dove
40626,Avène
21269,Clear
41391,Điện Quang
41660,Johnson's Baby
33652,Luminarc
25502,Citizen
21266,Lifebuoy
21274,Vaseline
41661,LISTERINE
5221825,Life360
51059,Ginseng House
47489,La Roche-Posay
47663,Romano
79599,BARRIER
48201,AUM
34379,Banana Boat
18802,Samsung
48727,Jomi
25422,Xiaomi
243693,UGREEN
50693,VEET
46335,Gillette
52207,SVR
18845,SanDisk
47664,Enchanteur 
52496,Kinbar
52977,Selleys
25229,Bosch
64152,Okamoto
47422,Nhơn Hòa
74676,Cléo
40699,Prota
79650,Mpower
19588,Comet
47415,Dew&Dew
85867,Aquaselin
64932,Laneige
86206,Senka
108326,Dercos
859997,Stanhome Family Expert
41048,Sunhouse
111455,SSK
111461,OEM
112278,Bestdon
218165,Soundcore by Anker
112887,Acnes
112882,Sunplay
22013,Hada Labo
112885,Selsun
18805,Dell
113778,Evian
113854,Abus
114329,AlcoFree
142848,Yazole
143006,Dorco
143086,Menly
143130,Lorganic
21253,Dabo
26150,Casio
144639,Tescom
21276,Pantene
145543,Winwinshop88
48077,LocknLock
48649,Braun
148961,Benchusch
31627,Elmich
150229,HighQuality
19312,Energizer
150004,Langston
150002,DareU
25403,L'ORÉAL
4647777,Ngọc Quý
21867,Kotex
22393,Rohto
238407,Oribe
46363,Julius
829895,NoseWash
145037,Tâm Thiện Chí
152763,Plyconcept
21125,Happy Cook
153315,Mack's
20304,Fivestar
155090,Annayake
114514,RINGO
151948,Charme
155086,Orlane
41408,Makita
25048,Maybelline
154167,Mỹ Phẩm Ngân Bình
143820,Học Viện Quân Y
156143,Refre
156145,Melano CC
63747,3M
65071,L'amont En Provence
149699,Cetaphil
156409,BULOVA
159283,Tmark
160211,ANESSA
156529,Wacom
161077,Duy Thành
49242,Diana
160941,The Body Shop
162169,SOLGAR
48381,3W Clinic
163213,Bông Bạch Tuyết
160841,Móc Móc
164391,Remos
164793,NobleChairs
165285,VCurmin
31632,Safia
167567,Sukin
166383,Serenys
52315,Jamo
167817,Zoley
168731,Damode
168555,One4One
17827,Apple
168669,ZOOYOO
155216,Korea Red Ginseng
50331,Klipsch
46679,Huy Hoàng
174505,ARM & Hammer
145556,Gembank
159019,NeoCurma
152755,TS24H
181341,V2U healthcare
169917,The Saem
253687,Agimexpharm
147856,Kindle
156901,Banobagi
185177,Navipha
185211,Rio Beauty
47678,IMediCare
182017,Masculan Das Kondom
191181,Coco-Secret
50662,BIODERMA
191611,XP-PEN
184457,Dugena
31929,Khaluck.Home
186549,Naruko
48599,Mediheal
144376,Lifetrons
48249,Silcot
51302,Sumika
510089,Aplus
47882,SKMEI
196109,Cooling pad
192493,Vesine
197655,Ulanzi
200595,Greelux
199937,Thorakao
198843,Truemove
156141,KOSÉ Cosmeport
191261,Festina
191235,Romanson
199801,KGC Cheong Kwan Jang
148559,Everon
207249,White Conc
202043,GO Healthy
200337,Janssen Cosmetics
41403,X-Men
193837,LuxJy Jewelry
290001,Bảo Nam Cosmetics
182293,Paula's Choice
204731,SRWATCH
27464,TP-Link
111626,Arun
205847,Kanehide Bio
21673,Bose
184409,VIETGEMSTONES
186747,Takstar
144691,Korea Ginseng
199495,Brita
207367,Thiên Mộc Hương
74999,Dalton
197443,Coast
209879,Rosette
143398,Honeywell
202437,Secret Key
211415,Kềm Nghĩa
114328,Eucerin
206003,Muối Ngâm Chân Thảo Dược Hợp Tác Xã Sinh Dược 
411791,Tesori D'Oriente
185127,Gohar Saffron 
216065,Netac
148844,OGATIC
212575,YAMATO
27396,Puritan's Pride
47803,Orihiro 
47615,Spirulina System
110666,Immortel
217727,Owgels
191669,Ultra Thin
218061,Halio
505165,Song An Eco
174699,ORIENT
193677,Rạng Đông
214305,Goldentime
154319,868
20215,JBL
196829,Yanhee
222917,Crownman
223557,Yoho Mekabu Fucoidan
223671,olmeca
223749,FIXDERMA
27481,Lanaform
212461,eData
26675,Mobifone
47425,TNE
229213,Bphone
25277,Vinaphone
159441,Laliz
230983,Việt Tiệp
166419,Likgus
231355,Omar Sharif Paris
153444,Yamaha
148818,Total
231297,HONEYLAND
21279,Olay
232723,TRISA
